GroupLevel_0,GroupLevel_1,GroupLevel_2,Dataset,Size,Shape,DataType
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1200,"(1200,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.03TT41.CAM3, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1920,"(1920,)",float64
 , , ,imageRawData,2304000,"(1200, 1920)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1200,"(1200,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.04TCC4.AWAKECAM04, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1600,"(1600,)",float64
 , , ,imageRawData,1920000,"(1200, 1600)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1200,"(1200,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.04TT41.CAM4, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1920,"(1920,)",float64
 , , ,imageRawData,2304000,"(1200, 1920)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1200,"(1200,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.05TT41.CAM5, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1920,"(1920,)",float64
 , , ,imageRawData,2304000,"(1200, 1920)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1200,"(1200,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.06TCC4.AWAKECAM06, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1600,"(1600,)",float64
 , , ,imageRawData,1920000,"(1200, 1600)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1200,"(1200,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.07TCC4.AWAKECAM07, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1600,"(1600,)",float64
 , , ,imageRawData,1920000,"(1200, 1600)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,1200,"(1200,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BOVWA.11TCC4.AWAKECAM11, , , , , 
 , ,ExtractionImage, , , , 
 , , ,beamIntensity,1,"(1,)",float64
 , , ,beamSize,1,"(1,)",float64
 , , ,cogX,1,"(1,)",float64
 , , ,cogY,1,"(1,)",float64
 , , ,height,1,"(1,)",int32
 , , ,horProjAmp,1,"(1,)",float64
 , , ,horProjAvg,1,"(1,)",float64
 , , ,horProjSigma,1,"(1,)",float64
 , , ,horProjection,1280,"(1280,)",float64
 , , ,imageRawData,1228800,"(960, 1280)",int16
 , , ,imageTimeStamp,1,"(1,)",int64
 , , ,intensityAvg,1,"(1,)",float64
 , , ,intensityHistogram,1000,"(1000,)",int32
 , , ,intensityRMS,1,"(1,)",float64
 , , ,intensitySigma,1,"(1,)",float64
 , , ,pixelSize,1,"(1,)",float64
 , , ,verProjAmp,1,"(1,)",float64
 , , ,verProjAvg,1,"(1,)",float64
 , , ,verProjSigma,1,"(1,)",float64
 , , ,verProjection,960,"(960,)",float64
 , , ,width,1,"(1,)",int32
 , ,PublishedSettings, , , , 
 , , ,delayTime,1,"(1,)",float64
 , , ,exposureTime,1,"(1,)",float64
 , , ,gain,1,"(1,)",int64
 , , ,triggerMode,1,"(1,)",|S2
 ,BPM.AWAKE.TT41, , , , , 
 , ,Acquisition, , , , 
 , , ,bpmNames,32,"(32,)",|S15
 , , ,dynDestination,1,"(1,)",|S5
 , , ,horPosOk,0,"(0,)",Custom Datatype
 , , ,horPosition,32,"(32,)",float32
 , , ,nbOfBpms,1,"(1,)",int16
 , , ,verPosOk,0,"(0,)",Custom Datatype
 , , ,verPosition,32,"(32,)",float32
 ,BTV.TT41.412354_FILTER, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,BTV.TT41.412426_FWHEEL, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,BTV.TT41.412426_MASK_H, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,BTV.TT41.412426_MASK_V, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,BTV.TT41.412442_FWHEEL, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,BTV.TT41.412442_MASK_H, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,BTV.TT41.412442_MASK_V, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,EMETER02, , , , , 
 , ,Acq, , , , 
 , , ,outOfRange,1,(),bool
 , , ,value,1,"(1,)",float32
 , , ,value_units,1,"(1,)",|S1
 ,EMETER03, , , , , 
 , ,Acq, , , , 
 , , ,outOfRange,1,(),bool
 , , ,value,1,"(1,)",float32
 , , ,value_units,1,"(1,)",|S1
 ,EMETER04, , , , , 
 , ,Acq, , , , 
 , , ,outOfRange,1,(),bool
 , , ,value,1,"(1,)",float32
 , , ,value_units,1,"(1,)",|S1
 ,EMETER05, , , , , 
 , ,Acq, , , , 
 , , ,outOfRange,1,(),bool
 , , ,value,1,"(1,)",float32
 , , ,value_units,1,"(1,)",|S1
 ,FWHEEL01, , , , , 
 , ,Acq, , , , 
 , , ,backWheelPositionDescription,1,"(1,)",|S6
 , , ,frontWheelPositionDescription,1,"(1,)",|S6
 , , ,status,1,"(1,)",int32
 ,GD_BPM.AWAKE.TRIUMF, , , , , 
 , ,AcquisitionSPS, , , , 
 , , ,bpmNames,14,"(14,)",|S18
 , , ,horPos,14,"(14,)",float32
 , , ,nbOfBpms,1,"(1,)",int32
 , , ,posOK,1,"(1,)",Custom Datatype
 , , ,sigma,14,"(14,)",int32
 , , ,verPos,14,"(14,)",float32
 , ,GlobalAcquisition, , , , 
 , , ,bpmNames,14,"(14,)",|S18
 , , ,horPos,14,"(14,)",float32
 , , ,horPosSelected,14,"(14,)",float32
 , , ,nbOfBpms,1,"(1,)",int32
 , , ,posOK,1,"(1,)",Custom Datatype
 , , ,posOkSelected,0,"(0,)",Custom Datatype
 , , ,sigma,14,"(14,)",float32
 , , ,sigmaSelected,14,"(14,)",int32
 , , ,verPos,14,"(14,)",float32
 , , ,verPosSelected,14,"(14,)",float32
 ,LSSE2, , , , , 
 , ,Acq, , , , 
 , , ,position,1,"(1,)",int32
 ,LSSP2, , , , , 
 , ,Acq, , , , 
 , , ,position,1,"(1,)",int32
 ,MPP-TSG41-MIRROR1-H, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,MPP-TSG41-MIRROR1-V, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,MPP-TSG41-WHEEL1-BI, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,MPP-VACTRANS-CTR, , , , , 
 , ,Acquisition, , , , 
 , , ,mmPosition,1,"(1,)",float64
 , , ,position,1,"(1,)",int32
 , , ,stepperBusy,1,(),bool
 , , ,switchIn,1,(),bool
 , , ,switchOut,1,(),bool
 ,MPP-VACTRANS-OTR, , , , , 
 , ,Acquisition, , , , 
 , , ,mmPosition,1,"(1,)",float64
 , , ,position,1,"(1,)",int32
 , , ,stepperBusy,1,(),bool
 , , ,switchIn,1,(),bool
 , , ,switchOut,1,(),bool
 ,MPPAWAKE-STANDA-08.AXIS01, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-08.AXIS02, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-08.AXIS03, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-08.AXIS04, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-08.AXIS09, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-08.AXIS10, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-08.AXIS11, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-08.AXIS12, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS01, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS02, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS03, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS04, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS05, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS06, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS07, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS08, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS09, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS10, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS11, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,MPPAWAKE-STANDA-12.AXIS12, , , , , 
 , ,Movement, , , , 
 , , ,leftLimitSwitchReached,1,(),|S128
 , , ,position,1,(),|S128
 , , ,rightLimitSwitchReached,1,(),|S128
 ,PMOTOR01, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR02, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR03, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR04, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR05, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR06, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR13, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR14, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR15, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,PMOTOR16, , , , , 
 , ,Acquisition, , , , 
 , , ,position,1,"(1,)",int32
 ,Plunger.412401, , , , , 
 , ,StartCounterSt, , , , 
 , , ,value,1,"(1,)",int32
 , ,State, , , , 
 , , ,value,1,"(1,)",int16
 ,Plunger.412422, , , , , 
 , ,StartCounterSt, , , , 
 , , ,value,1,"(1,)",int32
 , ,State, , , , 
 , , ,value,1,"(1,)",int16
 ,RADMON.AWAKE-1, , , , , 
 , ,Acquisition, , , , 
 , , ,SEUType1,1,"(1,)",float64
 , , ,SEUType2,1,"(1,)",float64
 , , ,cumBank1HadronFluence,1,"(1,)",float64
 , , ,cumBank1MBUCounts,1,"(1,)",int32
 , , ,cumBank1SEUCounts,1,"(1,)",int32
 , , ,cumBank2HadronFluence,1,"(1,)",float64
 , , ,cumBank2MBUCounts,1,"(1,)",int32
 , , ,cumBank2SEUCounts,1,"(1,)",int32
 , , ,cumNeutronFluence,1,"(1,)",float64
 , , ,cumTID1,1,"(1,)",float64
 , , ,cumTID2,1,"(1,)",float64
 , , ,lPar1,1,"(1,)",float64
 , , ,lPar2,1,"(1,)",float64
 , , ,lPar3,1,"(1,)",float64
 , , ,lParType,1,"(1,)",float64
 , , ,pinDiodeType,1,"(1,)",int32
 , , ,radfet1Type,1,"(1,)",int32
 , , ,radfet2Type,1,"(1,)",int32
 , , ,radmonStatus,1,"(1,)",int32
 , , ,revisionNumber,1,"(1,)",int32
 , , ,revisionType,1,"(1,)",int32
 ,RADMON.AWAKE-2, , , , , 
 , ,Acquisition, , , , 
 , , ,SEUType1,1,"(1,)",float64
 , , ,SEUType2,1,"(1,)",float64
 , , ,cumBank1HadronFluence,1,"(1,)",float64
 , , ,cumBank1MBUCounts,1,"(1,)",int32
 , , ,cumBank1SEUCounts,1,"(1,)",int32
 , , ,cumBank2HadronFluence,1,"(1,)",float64
 , , ,cumBank2MBUCounts,1,"(1,)",int32
 , , ,cumBank2SEUCounts,1,"(1,)",int32
 , , ,cumNeutronFluence,1,"(1,)",float64
 , , ,cumTID1,1,"(1,)",float64
 , , ,cumTID2,1,"(1,)",float64
 , , ,lPar1,1,"(1,)",float64
 , , ,lPar2,1,"(1,)",float64
 , , ,lPar3,1,"(1,)",float64
 , , ,lParType,1,"(1,)",float64
 , , ,pinDiodeType,1,"(1,)",int32
 , , ,radfet1Type,1,"(1,)",int32
 , , ,radfet2Type,1,"(1,)",int32
 , , ,radmonStatus,1,"(1,)",int32
 , , ,revisionNumber,1,"(1,)",int32
 , , ,revisionType,1,"(1,)",int32
 ,RADMON.AWAKE-3, , , , , 
 , ,Acquisition, , , , 
 , , ,SEUType1,1,"(1,)",float64
 , , ,SEUType2,1,"(1,)",float64
 , , ,cumBank1HadronFluence,1,"(1,)",float64
 , , ,cumBank1MBUCounts,1,"(1,)",int32
 , , ,cumBank1SEUCounts,1,"(1,)",int32
 , , ,cumBank2HadronFluence,1,"(1,)",float64
 , , ,cumBank2MBUCounts,1,"(1,)",int32
 , , ,cumBank2SEUCounts,1,"(1,)",int32
 , , ,cumNeutronFluence,1,"(1,)",float64
 , , ,cumTID1,1,"(1,)",float64
 , , ,cumTID2,1,"(1,)",float64
 , , ,lPar1,1,"(1,)",float64
 , , ,lPar2,1,"(1,)",float64
 , , ,lPar3,1,"(1,)",float64
 , , ,lParType,1,"(1,)",float64
 , , ,pinDiodeType,1,"(1,)",int32
 , , ,radfet1Type,1,"(1,)",int32
